engine_id,phase,case_id,reading_variant,status,duration_sec,generation_sec,rtf,cer,f0_mean_hz,f0_range_hz,energy_rms_dbfs,pause_ratio,speaking_rate_proxy,pronunciation_result,human_review_required
voicevox,phase1,p11,external_preprocessed,generated,2.4,0.51924,0.21635000000000001,0.25,307.87150035690456,379.3969849246231,-24.522603706247242,0.050000000000000044,6.578947368421053,不合格,False
voicevox,phase1,p12,raw,generated,3.36,0.666989,0.19850863095238097,0.21052631578947367,326.5315941218447,385.16746411483257,-23.00508449195,0.04761904761904767,5.625,不合格,False
voicevox,phase1,p12,engine_native,generated,3.36,0.655637,0.19513005952380955,0.21052631578947367,326.5315941218447,385.16746411483257,-23.00508449195,0.04761904761904767,5.625,不合格,False
voicevox,phase1,p12,external_preprocessed,generated,3.338667,0.653524,0.19574399004153453,0.15789473684210525,329.5816569831362,350.0,-21.91614272692781,0.04761904761904767,5.625,不合格,False
voicevox,phase1,p13,raw,generated,2.869333,0.581573,0.20268578098115483,0.11764705882352941,309.6959489244994,403.6144578313253,-24.68224873197801,0.08333333333333337,6.0606060606060606,要確認,False
voicevox,phase1,p13,engine_native,generated,2.869333,0.58302,0.20319007936687725,0.11764705882352941,309.6959489244994,403.6144578313253,-24.68224873197801,0.08333333333333337,6.0606060606060606,要確認,False
voicevox,phase1,p13,external_preprocessed,generated,2.805333,0.573843,0.20455432563620787,0.23529411764705882,294.2021909402846,406.25,-23.708558706991617,0.08450704225352113,6.153846153846153,不合格,False
voicevox,phase1,m01,raw,generated,4.405333,0.807825,0.18337433288244046,0.041666666666666664,293.09018774281134,402.0408163265306,-23.890077962090412,0.06306306306306309,5.528846153846153,not_applicable,False
voicevox,phase1,m02,raw,generated,6.336,1.12697,0.1778677398989899,0.15151515151515152,308.1743088181406,378.78787878787875,-24.052333663168834,0.11949685534591192,5.178571428571429,not_applicable,False
voicevox,phase1,m03,raw,generated,6.229333,1.110179,0.17821795688238212,0.03125,325.700617576645,411.7647058823529,-23.576027288729634,0.07692307692307687,5.208333333333334,not_applicable,False
voicevox,phase1,m04,raw,generated,6.485333,1.174696,0.1811311770729429,0.40540540540540543,303.2404829442547,395.1965065502184,-23.002722919232212,0.12269938650306744,6.118881118881119,not_applicable,False
voicevox,phase1,q01,raw,generated,9.226667,1.645556,0.17834782592674037,0.075,335.0877573602296,414.5907473309609,-25.952106249268716,0.20779220779220775,4.508196721311475,not_applicable,False
voicevox,phase1,q02,raw,generated,4.032,0.747909,0.18549330357142857,0.2857142857142857,320.00888551101275,381.18811881188117,-24.58130286461111,0.13861386138613863,5.459770114942529,not_applicable,False
voicevox,phase1,q03,raw,generated,4.106667,0.778905,0.18966840992951217,0.12,312.23540318346784,408.04597701149424,-24.880338621904823,0.1456310679611651,6.534090909090909,not_applicable,False
voicevox,phase1,l01,raw,generated,209.344,38.29979,0.1829514578874962,0.10869565217391304,322.1606073124944,429.20353982300884,-24.04828575529013,0.13698891860909435,5.861191056010626,not_applicable,False
